2026-06-18 18:01:32.938 GMT [1] LOG:  starting PostgreSQL 15.18 (Debian 15.18-1.pgdg13+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 14.2.0-19) 14.2.0, 64-bit
2026-06-18 18:01:32.939 GMT [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2026-06-18 18:01:32.939 GMT [1] LOG:  listening on IPv6 address "::", port 5432
2026-06-18 18:01:32.944 GMT [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2026-06-18 18:01:32.951 GMT [30] LOG:  database system was shut down at 2026-06-18 18:01:28 GMT
2026-06-18 18:01:32.960 GMT [1] LOG:  database system is ready to accept connections
2026-06-18 18:01:46.824 GMT [42] LOG:  invalid length of startup packet
2026-06-18 18:01:47.891 GMT [43] LOG:  invalid length of startup packet
2026-06-18 18:01:48.279 GMT [52] LOG:  invalid length of startup packet
2026-06-18 18:04:20.496 GMT [188] LOG:  received replication command: IDENTIFY_SYSTEM
2026-06-18 18:04:20.496 GMT [188] STATEMENT:  IDENTIFY_SYSTEM
2026-06-18 18:04:20.499 GMT [188] LOG:  received replication command: START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1A16CE0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 18:04:20.499 GMT [188] STATEMENT:  START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1A16CE0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 18:04:20.500 GMT [188] LOG:  starting logical decoding for slot "debezium_slot"
2026-06-18 18:04:20.500 GMT [188] DETAIL:  Streaming transactions committing after 0/19A4578, reading WAL from 0/19A4540.
2026-06-18 18:04:20.500 GMT [188] STATEMENT:  START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1A16CE0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 18:04:20.500 GMT [188] LOG:  logical decoding found consistent point at 0/19A4540
2026-06-18 18:04:20.500 GMT [188] DETAIL:  There are no running transactions.
2026-06-18 18:04:20.500 GMT [188] STATEMENT:  START_REPLICATION SLOT "debezium_slot" LOGICAL 0/1A16CE0 ("proto_version" '1', "publication_names" 'cdc_publication', "messages" 'true')
2026-06-18 18:06:33.051 GMT [28] LOG:  checkpoint starting: time
2026-06-18 18:06:34.509 GMT [28] LOG:  checkpoint complete: wrote 17 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.412 s, sync=0.021 s, total=1.459 s; sync files=13, longest=0.013 s, average=0.002 s; distance=41 kB, estimate=41 kB
